Serotype,Stage,Feature,Pearson_r,Abs_r,P_value
IP1,deae,deae_child2_xto_common_20x__35_1,0.0974,0.0974,0.3668
IP1,deae,deae_child2_xto_outlet_20x__13_1,0.0974,0.0974,0.3668
IP1,deae,deae_sensor_TI_A2_max,-0.097,0.097,0.3685
IP1,deae,deae_sensor_AI_A2_mean,-0.0967,0.0967,0.3699
IP1,deae,deae_child2_xto_common_20x__50_1,0.0955,0.0955,0.3759
IP1,deae,ev_pg_deae_up1_max_duration_h,0.0945,0.0945,0.3811
IP1,deae,ev_deae_up12_max_duration_h,0.0945,0.0945,0.3811
IP1,deae,deae_sub_pc1,-0.0935,0.0935,0.3864
IP1,deae,deae_sensor_FIC_C11_min,-0.0931,0.0931,0.3882
IP1,deae,deae_child2_xto_common_20x__23_1,0.0924,0.0924,0.3921
IP1,deae,deae_child2_xto_outlet_20x__4_1,0.0924,0.0924,0.3919
IP1,deae,deae_child2_xto_control_20x__8_1,0.0923,0.0923,0.3925
IP1,deae,deae_child2_xto_prompt__3_1,0.0923,0.0923,0.3922
IP1,deae,deae_sensor_TI_A1_min,-0.0922,0.0922,0.3931
IP1,deae,deae_child2_xto_inlet_20x__10_1,0.0922,0.0922,0.3928
IP1,deae,deae_sensor_PIC_A1_min,0.0917,0.0917,0.3953
IP1,deae,deae_child2_xto_inline_201__10_1,0.0898,0.0898,0.4051
IP1,deae,deae_child2_xto_control_20x__33_1,0.0895,0.0895,0.4068
IP1,deae,deae_child2_xto_common_20x__1_1,0.0887,0.0887,0.411
IP1,deae,deae_child2_xto_alarm_201__1_1,0.0867,0.0867,0.4219
IP1,deae,deae_child2_xto_prompt__8_1,-0.0857,0.0857,0.4272
IP1,deae,deae_sensor_AI_A3_std,-0.0834,0.0834,0.4396
IP1,deae,deae_child2_xto_init_20x__2_1,0.0827,0.0827,0.4437
IP1,deae,deae_sensor_PIC_A1_max,0.0822,0.0822,0.4466
IP1,deae,deae_child2_xto_inlet_20x__6_1,-0.0809,0.0809,0.4535
